2024/04/03 00:57:01 [emerg] 20256#33512: invalid host in upstream "ws://localhost:8085" in C:\Users\giuli\OneDrive\Documents\OneDrive 29-08-2023\Desktop\capstone-deploy\myPizza\src\nginx/conf/nginx.conf:3
2024/04/03 01:00:18 [emerg] 26556#34160: invalid host in upstream "ws://localhost:8085" in C:\Users\giuli\OneDrive\Documents\OneDrive 29-08-2023\Desktop\capstone-deploy\myPizza\src\nginx/conf/nginx.conf:3
2024/04/03 01:01:01 [emerg] 30232#29712: invalid host in upstream "ws://localhost:8085" in C:\Users\giuli\OneDrive\Documents\OneDrive 29-08-2023\Desktop\capstone-deploy\myPizza\src\nginx/conf/nginx.conf:3
2024/04/03 01:01:16 [emerg] 30744#15968: invalid host in upstream "http://localhost:8085" in C:\Users\giuli\OneDrive\Documents\OneDrive 29-08-2023\Desktop\capstone-deploy\myPizza\src\nginx/conf/nginx.conf:3
2024/04/03 01:01:50 [emerg] 13180#28352: invalid host in upstream "http://localhost:8080" in C:\Users\giuli\OneDrive\Documents\OneDrive 29-08-2023\Desktop\capstone-deploy\myPizza\src\nginx/conf/nginx.conf:5
2024/04/03 01:03:36 [emerg] 25976#26476: no "events" section in configuration
2024/04/03 01:09:31 [emerg] 24036#25128: no "events" section in configuration
2024/04/03 01:10:58 [error] 15448#14544: *1 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: , request: "GET /socket.io HTTP/1.1", upstream: "http://[::1]:8085/socket.io", host: "localhost:8081"
2024/04/03 01:10:59 [error] 15448#14544: *1 upstream prematurely closed connection while reading upstream, client: 127.0.0.1, server: , request: "GET /socket.io HTTP/1.1", upstream: "http://127.0.0.1:8085/socket.io", host: "localhost:8081"
2024/04/03 01:12:30 [error] 15448#14544: *4 upstream prematurely closed connection while reading upstream, client: 127.0.0.1, server: , request: "GET /socket.io HTTP/1.1", upstream: "http://127.0.0.1:8085/socket.io", host: "localhost:8081"
2024/04/03 01:21:30 [error] 15448#14544: *10 upstream prematurely closed connection while reading upstream, client: 127.0.0.1, server: , request: "GET /socket.io HTTP/1.1", upstream: "http://127.0.0.1:8085/socket.io", host: "localhost:8081"
2024/04/03 01:21:44 [error] 15448#14544: *12 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: , request: "GET /socket.io/?EIO=4&transport=websocket HTTP/1.1", upstream: "http://[::1]:8085/socket.io/?EIO=4&transport=websocket", host: "localhost:8081"
2024/04/03 01:30:15 [error] 15448#14544: *22 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: , request: "GET /socket.io/?EIO=4&transport=websocket HTTP/1.1", upstream: "http://[::1]:8085/socket.io/?EIO=4&transport=websocket", host: "localhost:8081"
2024/04/03 01:32:45 [error] 15448#14544: *33 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: , request: "GET /socket.io/?EIO=4&transport=websocket HTTP/1.1", upstream: "http://[::1]:8085/socket.io/?EIO=4&transport=websocket", host: "localhost:8081"
2024/04/03 01:36:08 [error] 15448#14544: *40 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: , request: "GET /socket.io/?EIO=4&transport=websocket HTTP/1.1", upstream: "http://[::1]:8085/socket.io/?EIO=4&transport=websocket", host: "localhost:8081"
2024/04/03 01:36:27 [error] 15448#14544: *51 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: , request: "GET /socket.io/?EIO=4&transport=websocket HTTP/1.1", upstream: "http://[::1]:8085/socket.io/?EIO=4&transport=websocket", host: "localhost:8081"
2024/04/03 01:37:31 [error] 15448#14544: *74 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: , request: "GET /socket.io/?EIO=4&transport=websocket HTTP/1.1", upstream: "http://[::1]:8085/socket.io/?EIO=4&transport=websocket", host: "localhost:8081"
2024/04/03 04:14:08 [error] 15448#14544: *81 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: , request: "GET /socket.io/?EIO=4&transport=websocket HTTP/1.1", upstream: "http://127.0.0.1:8085/socket.io/?EIO=4&transport=websocket", host: "localhost:8081"
2024/04/03 04:14:10 [error] 15448#14544: *81 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: , request: "GET /socket.io/?EIO=4&transport=websocket HTTP/1.1", upstream: "http://[::1]:8085/socket.io/?EIO=4&transport=websocket", host: "localhost:8081"
2024/04/03 04:14:22 [error] 15448#14544: *84 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: , request: "GET /socket.io/?EIO=4&transport=websocket HTTP/1.1", upstream: "http://127.0.0.1:8085/socket.io/?EIO=4&transport=websocket", host: "localhost:8081"
2024/04/03 04:14:24 [error] 15448#14544: *84 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: , request: "GET /socket.io/?EIO=4&transport=websocket HTTP/1.1", upstream: "http://[::1]:8085/socket.io/?EIO=4&transport=websocket", host: "localhost:8081"
2024/04/03 04:14:30 [error] 15448#14544: *87 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /socket.io/?EIO=4&transport=websocket HTTP/1.1", upstream: "http://socket_io/socket.io/?EIO=4&transport=websocket", host: "localhost:8081"
